ID,&,Name,&,Module,&,jacc\_sim\_code\_test,&,jacc\_sim\_code\_doc,&,jacc\_sim\_test\_doc,&,sow2v\_sim\_code\_test,&,sow2v\_sim\_code\_doc,&,sow2v\_sim\_test\_doc,\\
,&,hudi,&,hudi-common,&,0.602,&,1,&,1,&,0.035,&,0.513,&,0.487,\\
,&,hudi,&,hudi-flink-datasource,&,0.663,&,1,&,0.985,&,0.089,&,0.518,&,0.452,\\
,&,hudi,&,hudi-gcp,&,0.8,&,0.968,&,0.947,&,0.344,&,0.507,&,0.593,\\
,&,hudi,&,hudi-hadoop-mr,&,0.667,&,1,&,1,&,0.067,&,0.466,&,0.472,\\
,&,hudi,&,hudi-kafka-connect,&,0.556,&,1,&,1,&,0.059,&,0.405,&,0.408,\\
,&,hudi,&,hudi-platform-service,&,0.857,&,0.982,&,1,&,0.264,&,0.497,&,0.603,\\
,&,hudi,&,hudi-spark-datasource,&,0.732,&,0.979,&,0.986,&,0.047,&,0.471,&,0.403,\\
,&,hudi,&,hudi-sync,&,0.763,&,0.973,&,1,&,0.117,&,0.432,&,0.384,\\
,&,hudi,&,hudi-timeline-service,&,0.786,&,0.982,&,1,&,0.116,&,0.502,&,0.518,\\
,&,hudi,&,hudi-utilities,&,0.667,&,0.971,&,0.983,&,0.071,&,0.349,&,0.356,\\
,&,inlong,&,inlong-agent,&,0.699,&,1,&,1,&,0.076,&,0.381,&,0.365,\\
,&,inlong,&,inlong-audit,&,0.712,&,0.984,&,0.981,&,0.09,&,0.365,&,0.369,\\
,&,inlong,&,inlong-common,&,0.879,&,0.988,&,1,&,0.125,&,0.42,&,0.354,\\
,&,inlong,&,inlong-dataproxy,&,0.692,&,1,&,1,&,0.16,&,0.408,&,0.334,\\
,&,inlong,&,inlong-manager,&,0.678,&,0.96,&,0.969,&,0.056,&,0.312,&,0.255,\\
,&,inlong,&,inlong-sdk,&,0.778,&,0.987,&,1,&,0.192,&,0.392,&,0.366,\\
,&,inlong,&,inlong-sort,&,0.778,&,0.988,&,0.973,&,0.1,&,0.382,&,0.364,\\
,&,inlong,&,inlong-sort-standalone,&,0.701,&,1,&,1,&,0.123,&,0.347,&,0.374,\\
,&,inlong,&,inlong-tubemq,&,0.75,&,0.969,&,0.974,&,0.066,&,0.355,&,0.305,\\
,&,plc4x,&,plc4j,&,0.796,&,1,&,0.989,&,0.088,&,0.581,&,0.603,\\
,&,plc4x,&,protocols,&,0.714,&,1,&,1,&,0.284,&,0.476,&,0.426,\\
,&,turbine-core,&,src,&,0.717,&,0.988,&,1,&,0.046,&,0.417,&,0.458,\\
,&,freemarker-docgen,&,freemarker-docgen-core,&,0.897,&,1,&,1,&,0.216,&,0.707,&,0.669,\\
,&,creadur-whisker,&,apache-whisker-app,&,0.786,&,0.966,&,0.971,&,0.163,&,0.33,&,0.405,\\
,&,creadur-whisker,&,apache-whisker-cli,&,0.878,&,1,&,0.976,&,0.501,&,0.681,&,0.375,\\
,&,creadur-whisker,&,apache-whisker-maven-plugin,&,0.962,&,1,&,0.945,&,0.489,&,0.702,&,0.654,\\
,&,creadur-whisker,&,apache-whisker-model,&,0.783,&,0.96,&,0.957,&,0.351,&,0.468,&,0.303,\\
,&,creadur-whisker,&,apache-whisker-velocity,&,0.8,&,0.979,&,0.966,&,0.228,&,0.407,&,0.362,\\
,&,creadur-whisker,&,apache-whisker-xml,&,0.783,&,0.955,&,0.962,&,0.164,&,0.533,&,0.425,\\
,&,maven-jarsigner,&,src,&,0.88,&,0.965,&,1,&,0.221,&,0.541,&,0.582,\\
,&,maven-shared-io,&,src,&,0.671,&,1,&,0.984,&,0.079,&,0.464,&,0.462,\\
,&,jclouds-labs,&,abiquo,&,0.786,&,0.976,&,1,&,0.165,&,0.589,&,0.661,\\
,&,jclouds-labs,&,aliyun-ecs,&,0.733,&,1,&,0.98,&,0.124,&,0.642,&,0.507,\\
,&,jclouds-labs,&,cdmi,&,0.758,&,1,&,1,&,0.136,&,0.714,&,0.659,\\
,&,jclouds-labs,&,cloudsigma2,&,0.784,&,0.986,&,0.985,&,0.077,&,0.438,&,0.529,\\
,&,jclouds-labs,&,cloudsigma2-hnl,&,0.818,&,0.933,&,1,&,0.451,&,0.465,&,0.463,\\
,&,jclouds-labs,&,cloudsigma2-lvs,&,0.75,&,0.938,&,1,&,0.424,&,0.467,&,0.472,\\
,&,jclouds-labs,&,cloudsigma2-mia,&,0.818,&,0.933,&,1,&,0.439,&,0.46,&,0.465,\\
,&,jclouds-labs,&,cloudsigma2-sjc,&,0.75,&,0.938,&,1,&,0.368,&,0.443,&,0.457,\\
,&,jclouds-labs,&,cloudsigma2-wdc,&,0.818,&,0.933,&,1,&,0.424,&,0.447,&,0.457,\\
,&,jclouds-labs,&,cloudsigma2-zrh,&,0.818,&,0.933,&,1,&,0.445,&,0.46,&,0.458,\\
,&,jclouds-labs,&,dimensiondata,&,0.683,&,1,&,1,&,0.093,&,0.643,&,0.548,\\
,&,jclouds-labs,&,joyent-cloudapi,&,0.724,&,1,&,1,&,0.069,&,0.507,&,0.481,\\
,&,jclouds-labs,&,joyentcloud,&,0.722,&,0.933,&,0.958,&,0.261,&,0.44,&,0.349,\\
,&,jclouds-labs,&,oneandone,&,0.786,&,1,&,1,&,0.136,&,0.569,&,0.485,\\
,&,jclouds-labs,&,profitbricks-rest,&,0.707,&,1,&,0.983,&,0.106,&,0.555,&,0.467,\\
,&,jclouds-labs,&,vagrant,&,0.758,&,1,&,0.977,&,0.088,&,0.584,&,0.499,\\
,&,creadur-tentacles,&,src,&,0.942,&,0.873,&,0.96,&,0.264,&,0.273,&,0.332,\\
,&,accumulo-classloaders,&,modules\vfs-class-loader,&,0.816,&,0.981,&,1,&,0.102,&,0.539,&,0.541,\\
,&,datasketches-server,&,src,&,0.833,&,0.857,&,0.906,&,0.387,&,0.129,&,0.381,\\
,&,turbine-archetypes,&,src,&,0.682,&,0.966,&,0.978,&,0.146,&,0.393,&,0.365,\\
,&,asterixdb-graph,&,asterix-graphix,&,0.918,&,0.974,&,0.976,&,0.518,&,0.57,&,0.53,\\
,&,aries-typedevent,&,org.apache.aries.typedevent.bus,&,0.745,&,0.94,&,0.943,&,0.092,&,0.318,&,0.292,\\
,&,aries-typedevent,&,org.apache.aries.typedevent.remote,&,0.765,&,0.92,&,0.935,&,0.068,&,0.239,&,0.243,\\
,&,cxf-site,&,src,&,0.978,&,0.964,&,1,&,0.298,&,0.466,&,0.487,\\
,&,geronimo-metrics,&,geronimo-metrics,&,0.78,&,0.962,&,1,&,0.155,&,0.266,&,0.395,\\
,&,geronimo-metrics,&,geronimo-metrics-common,&,0.836,&,0.951,&,0.889,&,0.421,&,0.285,&,0.203,\\
,&,geronimo-metrics,&,geronimo-metrics-extensions,&,0.865,&,0.964,&,0.97,&,0.326,&,0.229,&,0.484,\\
,&,archiva-components,&,expression-evaluator,&,0.783,&,1,&,1,&,0.268,&,0.799,&,0.904,\\
,&,archiva-components,&,graph,&,0.844,&,1,&,1,&,0.163,&,0.699,&,0.795,\\
,&,archiva-components,&,spring-apacheds,&,0.88,&,1,&,1,&,0.249,&,0.479,&,0.611,\\
,&,archiva-components,&,spring-cache,&,0.931,&,1,&,1,&,0.26,&,0.72,&,0.67,\\
,&,archiva-components,&,spring-quartz,&,0.848,&,1,&,1,&,0.237,&,0.748,&,0.641,\\
,&,archiva-components,&,spring-registry,&,0.824,&,1,&,1,&,0.121,&,0.67,&,0.669,\\
,&,archiva-components,&,spring-taskqueue,&,0.676,&,1,&,0.946,&,0.13,&,0.681,&,0.615,\\
